N_STATES,TERM,P_VALUE,SELECTED,SIGNIFICANT_AT_5_PERCENT
4,DBLCIX_LAG_0,0.02,True,True
4,DURATION_STATE_0,0.02,True,True
4,DURATION_STATE_1,0.02,True,True
4,DURATION_STATE_2,0.02,True,True
4,DURATION_STATE_3,0.02,True,True
4,IBOXIG_LAG_0,0.02,True,True
4,JPEICORE_LAG_0,0.02,True,True
4,LBUTTRUU_LAG_0,0.02,True,True
4,LT11TRUU_LAG_0,0.02,True,True
4,SPXT_LAG_0,0.02,True,True
4,STATE_LAG_0,0.02,True,True
